stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3560,,Civico 26,,45.582474,12.314869,,,,,,
3561,,Edicola,,45.200657,12.291802,,,,,,
3562,,Scuola D. Milani,,45.199223,12.288345,,,,,,
3563,,Polizia Municipale,,45.219624,12.279145,,,,,,
3564,,Mogliano,,45.559334,12.234553,,,,,,
3566,,Distributore,,45.569149,12.113660,,,,,,
3567,,Distributore,,45.569187,12.113252,,,,,,
3568,,Incr. v.Carrer,,45.485264,12.264924,,,,,,
3569,,bivio Correzzola,,45.234070,12.023317,,,,,,
3572,,Localita' Bruso,,45.183628,12.085355,,,,,,
3573,,Localita' Bruso,,45.181934,12.085074,,,,,,
3574,,P.le Foscari - Capolinea,,45.491142,12.269146,,,,,,
3579,,Mira Lanza,,45.433975,12.132117,,,,,,
3580,,Mira Lanza  (ponte),,45.433910,12.132208,,,,,,
3581,,Incr. via Casone,,45.568138,12.060826,,,,,,
3582,,Incr. via Casone,,45.567921,12.060963,,,,,,
3583,,Uffici ASL,,45.511131,12.229644,,,,,,
3588,,MESTRE FS C7,,45.482250,12.233928,,,,,,
3595,,Civico 28 Scuole,,45.542831,12.156868,,,,,,
3596,,Civico 39 - Scuole,,45.542606,12.157611,,,,,,
3599,,Zona Industriale,,45.450024,12.076792,,,,,,
3600,,Zona Industriale,,45.450195,12.075768,,,,,,
3601,,via Matteotti,,45.495144,12.093040,,,,,,
3602,,Mirano Parcheggio ACTV,,45.494926,12.093230,,,,,,
3604,,Ex Zuccherificio,,45.141514,12.085921,,,,,,
3606,,Borgo San Giovanni Park,,45.207527,12.275680,,,,,,
3607,,Corte - Capolinea,,45.310081,12.074160,,,,,,
3608,,Corte fronte Capolinea,,45.310020,12.074274,,,,,,
3610,,Incr. via Pellico,,45.516895,12.188859,,,,,,
3611,,Incr. via Pellico,,45.516739,12.188991,,,,,,
3612,,Incr. via Pleiadi,,45.515347,12.198830,,,,,,
3613,,Incr. via Pleiadi,,45.514793,12.199503,,,,,,
3614,,Incr. via Selvanese,,45.507008,12.205826,,,,,,
3615,,Incr. via Selvanese,,45.507057,12.206266,,,,,,
3616,,Incr. via Colombo,,45.406288,11.998025,,,,,,
3617,,Incr. via Alfieri,,45.405968,11.998612,,,,,,
3621,,Civico 33 (Parco),,45.502422,12.260678,,,,,,
3623,,Carabinieri,,45.573689,12.106846,,,,,,
3624,,AEROPORTO M.POLO,,45.504532,12.339361,,,,,,
3625,,AEROPORTO M.POLO,,45.504860,12.339336,,,,,,
3626,,AEROPORTO M.POLO,,45.505020,12.339317,,,,,,
3629,,Incr. via Vallenari,,45.499603,12.267010,,,,,,
3630,,Incr.via Vallenari,,45.499531,12.266780,,,,,,
3631,,Civico 4,,45.502235,12.255118,,,,,,
3644,,Lova,,45.326851,12.124589,,,,,,
3648,,Ag. Delle Dogane,,45.468193,12.236047,,,,,,
3649,,Civico 40 - Lezze,,45.132000,12.065777,,,,,,
3650,,Cappella via Mezzaluna,,45.568119,12.154022,,,,,,
3651,,Cappella via Mezzaluna,,45.567970,12.154191,,,,,,
3652,,Civico 37 - Lezze,,45.131874,12.066104,,,,,,
3653,,Incr. via Stoppani,,45.498562,12.268826,,,,,,
3654,,Incr. via Stoppani,,45.498512,12.269062,,,,,,
3655,,Fronte Civico 3,,45.494789,12.268137,,,,,,
3659,,Incr.via F.Bandiera,,45.476192,12.233685,,,,,,
3661,,Prima di Boscochiaro,,45.134308,12.121820,,,,,,
3662,,dopo Boscochiaro,,45.134151,12.121883,,,,,,
3663,,"Tratt. ""Da Bepi""",,45.128132,12.131423,,,,,,
3664,,"Tratt. ""Da Bepi""",,45.127972,12.131321,,,,,,
1356,,Incr. vicolo Sestella,,45.489754,12.190089,,,,,,
1357,,Incr. via Carnia,,45.491848,12.190810,,,,,,
1358,,Incr. via Asseggiano,,45.494625,12.191706,,,,,,
